id,code,exception,tax_classification
__export__.l10n_br_fiscal_ncm_11795_19409f7a,0303.67.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11796_a3a1d9e0,0303.68.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11797_d2614f85,0303.69.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11798_249133fd,0303.69.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11799_b964b99f,0303.81.11,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11800_16d9aa02,0303.81.12,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11801_90c3eced,0303.81.13,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11802_c6ea80de,0303.81.14,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11803_8cef2f56,0303.81.19,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11804_ae47e989,0303.81.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11805_a6ed508f,0303.82.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11806_b84c4b21,0303.83.11,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11807_f6941217,0303.83.19,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11808_54b19163,0303.83.21,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11809_5e71406e,0303.83.29,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11810_c1e15c56,0303.84.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11811_c4962a6c,0303.89.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11812_b41ee13e,0303.89.20,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11813_b45bef79,0303.89.32,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11814_d26848c3,0303.89.33,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11815_cb20c9c3,0303.89.41,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11816_2667dac2,0303.89.42,,l10n_br_fiscal.tax_classification_200003
